Oct 29,Friday,Nevada Day,State holiday,Nevada
,,,,
Oct 31,Sunday,Halloween,Observance,
,,,,
Nov 1,Monday,All Saints' Day,Christian,
,,,,
Nov 2,Tuesday,All Souls' Day,Christian,
,,,,
Nov 2,Tuesday,Election Day,Observance,
Nov 2,Tuesday,Election Day,State holiday,Virginia
Nov 4,Thursday,Diwali/Deepavali,"Observance, Hinduism",
,,,,
Nov 7,Sunday,New York City Marathon,Sporting event,
Nov 7,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time,
Nov 8,Monday,Barack Obama Day,Local observance,Alabama**
,,,,
Nov 10,Wednesday,Marine Corps Birthday,Observance,
Nov 11,Thursday,Veterans Day,Federal Holiday,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Nov 25,Thursday,Thanksgiving Day,Federal Holiday,
Nov 26,Friday,State Holiday,State holiday,Georgia
Nov 26,Friday,Presidents' Day,State holiday,New Mexico
Nov 26,Friday,Lincoln's Birthday/Lincoln's Day,State holiday,Indiana
Nov 26,Friday,Day After Thanksgiving,State holiday,20 states
Nov 26,Friday,Family Day,State holiday,Nevada
Nov 26,Friday,Acadian Day,State holiday,Louisiana
Nov 26,Friday,Black Friday,Observance,
Nov 26,Friday,American Indian Heritage Day,State holiday,Maryland
Nov 26,Friday,Native American Heritage Day,Observance,
Nov 26,Friday,Native American Heritage Day,State holiday,Washington
Nov 28,Sunday,First Sunday of Advent,Christian,
Nov 29,Monday,Chanukah/Hanukkah (first day),Jewish holiday,
,,,,
Nov 29,Monday,Cyber Monday,Observance,
,,,,
,,,,
,,,,
Dec 1,Wednesday,Rosa Parks Day,State Observation,Alabama
Dec 1,Wednesday,Rosa Parks Day,Local observance,"Ohio, Oregon"
,,,,
,,,,
,,,,
,,,,
Dec 6,Monday,Last Day of Chanukah,Jewish holiday,
Dec 6,Monday,St Nicholas Day,Observance,
,,,,
Dec 7,Tuesday,Pearl Harbor Remembrance Day,Observance,
Dec 8,Wednesday,Feast of the Immaculate Conception,Christian,
,,,,
,,,,
,,,,
,,,,
Dec 12,Sunday,Feast of Our Lady of Guadalupe,Christian,
Dec 13,Monday,National Guard Birthday,Observance,
Dec 15,Wednesday,Bill of Rights Day,Observance,
Dec 17,Friday,Pan American Aviation Day,Observance,
Dec 17,Friday,Wright Brothers Day,Observance,
,,,,
,,,,
,,,,
Dec 21,Tuesday,December Solstice,Season,
Dec 23,Thursday,Washington's Birthday,State holiday,"Georgia, Indiana"
Dec 24,Friday,Day off for Christmas Day,Federal Holiday,
Dec 24,Friday,Christmas Eve,State holiday,"KS*, KY, MI, NC, ND, OK, SC, TX, VA*, WI"
Dec 24,Friday,Christmas Eve,"Observance, Christian",
Dec 25,Saturday,Christmas Day,Federal Holiday,
Dec 26,Sunday,Kwanzaa (first day),Observance,
Dec 26,Sunday,Day After Christmas Day,State holiday,"KS, NC, SC, TX"
Dec 31,Friday,Day off for New Year's Day,Federal Holiday,
Dec 31,Friday,New Year's Eve,State holiday,"LA, MI, WI"
Dec 31,Friday,New Year's Eve,Observance,
